자치구 행정동,골목_컨셉,갤러리_컨셉,음악_컨셉,행정동,한옥 개수,예술_컨셉
용산구 원효로3가,0.0,0.0,0.0,0,1.0,0.0
용산구 청파동2가,0.0,0.0,0.0,0,1.0,0.0
은평구 불광동,0.0,0.0,0.0,0,2.0,0.0
종로구 명륜3가,0.0,0.0,0.0,0,1.0,0.0
종로구 명륜동1가,0.0,0.0,0.0,0,6.0,0.0
종로구 명륜동2가,0.0,0.0,0.0,0,2.0,0.0
종로구 명륜동3가,0.0,0.0,0.0,0,2.0,0.0
종로구 명륜동4가,0.0,0.0,0.0,0,5.0,0.0
종로구 무악동,0.0,0.0,0.0,0,2.0,0.0
종로구 봉익동,0.0,0.0,0.0,0,4.0,0.0
종로구 익선동,0.0,0.0,0.0,0,4.0,0.0
종로구 인사동,0.0,0.0,0.0,0,3.0,0.0
종로구 장사동,0.0,0.0,0.0,0,3.0,0.0
종로구 종로5가,0.0,0.0,0.0,0,1.0,0.0
종로구 평창동,0.0,0.0,0.0,0,2.0,0.0
종로구 행촌동,0.0,0.0,0.0,0,2.0,0.0
중구 만리동1가,0.0,0.0,0.0,0,1.0,0.0
중구 장충동2가,0.0,0.0,0.0,0,1.0,0.0
중구 회현동1가,0.0,0.0,0.0,0,1.0,0.0
중랑구 신내동,0.0,0.0,0.0,0,1.0,0.0
강남구 삼성2동,0.0,0.0,0.0,0,4.0,0.0
강남구 일원본동,0.0,0.0,0.0,0,1.0,0.0
강동구 암사2동,0.0,0.0,0.0,0,1.0,0.0
강북구 번3동,0.0,0.0,0.0,0,1.0,0.0
강북구 인수동,0.0,0.0,0.0,0,1.0,0.0
강서구 가양1동,0.0,0.0,0.0,0,1.0,0.0
강서구 가양2동,0.0,0.0,0.0,0,1.0,0.0
관악구 낙성대동,0.0,0.0,0.0,0,1.0,0.0
구로구 고척2동,0.0,0.0,0.0,0,2.0,0.0
노원구 공릉2동,0.0,0.0,0.0,0,5.0,0.0
노원구 월계2동,0.0,0.0,0.0,0,2.0,0.0
노원구 하계1동,0.0,0.0,0.0,0,1.0,0.0
도봉구 방학3동,0.0,0.0,0.0,0,1.0,0.0
동작구 사당2동,0.0,0.0,0.0,0,4.0,0.0
동작구 사당4동,0.0,0.0,0.0,0,1.0,0.0
서대문구 신촌동,0.0,0.0,0.0,0,1.0,0.0
서초구 내곡동,0.0,0.0,0.0,0,3.0,0.0
서초구 방배1동,0.0,0.0,0.0,0,3.0,0.0
성북구 정릉2동,0.0,0.0,0.0,0,1.0,0.0
송파구 방이1동,0.0,0.0,0.0,0,1.0,0.0
송파구 오금동,0.0,0.0,0.0,0,2.0,0.0
송파구 오륜동,0.0,0.0,0.0,0,4.0,0.0
송파구 잠실3동,0.0,0.0,0.0,0,1.0,0.0
용산구 남영동,0.0,0.0,0.0,0,2.0,0.0
용산구 서빙고동,0.0,0.0,0.0,0,2.0,0.0
용산구 효창동,0.0,0.0,0.0,0,1.0,0.0
종로구 이화동,0.0,0.0,0.0,0,1.0,0.0
종로구 종로1.2.3.4가동,0.0,0.0,0.0,0,42.0,0.0
종로구 청운효자동,0.0,0.0,0.0,0,23.0,0.0
중구 소공동,0.0,0.0,0.0,0,11.0,0.0
중구 장충동,0.0,0.0,0.0,0,1.0,0.0
중구 필동,0.0,0.0,0.0,0,6.0,0.0
중랑구 묵1동,0.0,0.0,0.0,0,2.0,0.0
0,0.0,0.0,0.0,내곡동,0.0,2.0
0,0.0,0.0,0.0,노량진1동,0.0,1.0
0,0.0,0.0,0.0,능동,0.0,12.0
0,0.0,0.0,0.0,다산동,0.0,1.0
0,0.0,0.0,0.0,대학동,0.0,1.0
0,0.0,0.0,0.0,도봉2동,0.0,1.0
0,0.0,0.0,0.0,독산4동,0.0,1.0
0,0.0,0.0,0.0,독산제4동,0.0,1.0
0,0.0,0.0,0.0,둔촌2동,0.0,1.0
0,0.0,0.0,0.0,등촌1동,0.0,1.0
0,0.0,0.0,0.0,망우본동,0.0,1.0
0,0.0,0.0,0.0,면목제3.8동,0.0,5.0
0,0.0,0.0,0.0,문원동,0.0,2.0
0,0.0,0.0,0.0,방이2동,0.0,7.0
0,0.0,0.0,0.0,번1동,0.0,1.0
0,0.0,0.0,0.0,삼성1동,0.0,1.0
0,0.0,0.0,0.0,상계2동,0.0,1.0
0,0.0,0.0,0.0,상계6.7동,0.0,1.0
0,0.0,0.0,0.0,상일1동,0.0,1.0
0,0.0,0.0,0.0,서강동,0.0,1.0
0,0.0,0.0,0.0,성북동,0.0,2.0
0,0.0,0.0,0.0,신내1동,0.0,1.0
0,0.0,0.0,0.0,신대방2동,0.0,7.0
0,0.0,0.0,0.0,안암동,0.0,1.0
0,0.0,0.0,0.0,암사3동,0.0,1.0
0,0.0,0.0,0.0,양재2동,0.0,6.0
0,0.0,0.0,0.0,여의동,0.0,21.0
0,0.0,0.0,0.0,영등포본동,0.0,1.0
0,0.0,0.0,0.0,오륜동,0.0,1.0
0,0.0,0.0,0.0,우장산동,0.0,1.0
0,0.0,0.0,0.0,을지로동,0.0,2.0
0,0.0,0.0,0.0,이촌1동,0.0,7.0
0,0.0,0.0,0.0,이촌2동,0.0,11.0
0,0.0,0.0,0.0,자양4동,0.0,1.0
0,0.0,0.0,0.0,잠실2동,0.0,9.0
0,0.0,0.0,0.0,잠실3동,0.0,6.0
0,0.0,0.0,0.0,잠실6동,0.0,7.0
0,0.0,0.0,0.0,잠실7동,0.0,16.0
0,0.0,0.0,0.0,잠실본동,0.0,6.0
0,0.0,0.0,0.0,장안1동,0.0,1.0
0,0.0,0.0,0.0,장안2동,0.0,1.0
0,0.0,0.0,0.0,장충동,0.0,4.0
0,0.0,0.0,0.0,전농2동,0.0,1.0
0,0.0,0.0,0.0,종로1.2.3.4가동,0.0,2.0
0,0.0,0.0,0.0,중림동,0.0,1.0
0,0.0,0.0,0.0,창4동,0.0,1.0
0,0.0,0.0,0.0,천연동,0.0,1.0
0,0.0,0.0,0.0,천호2동,0.0,1.0
0,0.0,0.0,0.0,필동,0.0,4.0
0,0.0,0.0,0.0,행당1동,0.0,2.0
0,0.0,0.0,0.0,홍은1동,0.0,1.0
0,0.0,0.0,0.0,홍은2동,0.0,2.0
