name,add,real_add,행정동,price,총층수,1층포함여부,평수(㎡),대관단위(시간),총평수,수용인원수,시간당대관료,평당가격
콩크리트,서울 용산구,"서울 용산구 두텁바위로 79-4 1층, 2층",후암동,800000,2,1,86.3,1,172.6,58,800000,4634.994206
매드포갈릭 예술의전당점,서울 서초구,서울 서초구 반포대로 22 서초평화빌딩 지하1층,서초3동,500000,1,0,227.5,1,227.5,76,500000,2197.802198
매드포갈릭 역삼,서울 강남구,서울 강남구 테헤란로 134 포스코 P&S타워 지하1층,역삼1동,500000,1,0,176,1,176,59,500000,2840.909091
매드포갈릭 봉은사 아이파크타워,서울 강남구,서울 강남구 영동대로 520 지하1층,삼성1동,500000,1,0,672,1,672,224,500000,744.047619
연무장길 17-1 B1,서울 성동구,서울 성동구 연무장길 17-1 지하1층,성수2가3동,500000,1,0,251.9,8,251.9,84,62500,248.1143311
서울숲 바이크 샵,서울 성동구,서울 성동구 서울숲9길 5 1층,성수1가2동,600000,1,1,125,23,125,42,26086.95652,208.6956522
청담 옥탑광고,서울 강남구,서울 강남구 도산대로 539,청담동,600000,1,0,90.1,23,90.1,30,26086.95652,289.5333687
웨이즈커피 옥외광고,서울 마포구,서울 마포구 동교로46길 42-20 2층,,2000000,1,0,64,23,64,21,86956.52174,1358.695652
서울숲 플로이(FLOWY) 옥외광고,서울 성동구,서울 성동구 서울숲2길 12 1층 FLOWY,성수1가2동,800000,1,1,150,23,150,50,34782.6087,231.884058
[메가박스 성수 팝업] 5층 복도,서울 성동구,서울 성동구 왕십리로 50 3층 메가박스 성수,,500000,1,0,150,23,150,50,21739.13043,144.9275362
이비스 호텔 로비공간,서울 강남구,서울 강남구 삼성로 431,대치4동,0,1,1,1050,24,1050,350,1200000,1142.857143
[신사] 팝업 공간 216호,서울 서초구,서울 서초구 강남대로 589 105호,잠원동,200000,1,0,60,23,60,20,8695.652174,144.9275362
공간감(공간+감각),서울 송파구,서울 송파구 백제고분로9길 54 지하1층,,220000,1,0,142,13,142,47,16923.07692,119.176598
[신사] 복층 팝업 공간 104호,서울 서초구,서울 서초구 강남대로 589 105호,잠원동,450000,2,1,51,23,102,34,19565.21739,191.8158568
[신사] 팝업 공간 215호+루프탑,서울 서초구,서울 서초구 강남대로 589 105호,잠원동,250000,2,1,33,23,66,22,10869.56522,164.6903821
[신사] 팝업 공간 102호,서울 서초구,서울 서초구 강남대로 589 105호,잠원동,960000,1,1,72,23,72,24,41739.13043,579.7101449
[신사] 팝업 공간 303호+테라스,서울 서초구,서울 서초구 강남대로 589 105호,잠원동,1300000,1,0,65,23,65,22,56521.73913,869.5652174
[신사] 팝업 공간 204-1호,서울 서초구,서울 서초구 강남대로 589 105호,잠원동,1400000,2,1,120,23,240,80,60869.56522,253.6231884
[신사] 팝업 공간 214호,서울 서초구,서울 서초구 강남대로 589 105호,잠원동,500000,1,1,96.7,23,96.7,32,21739.13043,224.8100355
Space.en,서울 서대문구,서울 서대문구 연희로 48-22 1층,연희동,200000,1,1,86,1,86,29,200000,2325.581395
신논현역 팝업스토어 공간,서울 서초구,서울 서초구 사평대로57길 21-2 2층,반포동,1000000,1,0,90,23,90,30,43478.26087,483.0917874
[신사] 팝업 공간 202호,서울 서초구,서울 서초구 강남대로 589 105호,잠원동,1400000,1,1,47.5,23,47.5,16,60869.56522,1281.464531
홍대-신촌 팝업 건물,서울 마포구,서울 마포구 신촌로 50,,3500000,4,1,200,23,800,267,152173.913,190.2173913
[신사] 팝업 공간 203호,서울 서초구,서울 서초구 강남대로 589 105호,잠원동,1400000,1,1,35.2,23,35.2,12,60869.56522,1729.249012
우사단길 전통주점,서울 용산구,서울 용산구 우사단로10길 79-1 1층,한남동,0,1,1,61.6896,24,61.6896,21,1200000,19452.22533
(성수/팝업) 성수동 인근 공실 1~3층+루프탑,서울 성동구,서울 성동구 뚝섬로9길 4,성수2가1동,4000000,4,1,176,23,704,235,173913.0435,247.0355731
패션 브랜드 팝업스토어 홍대,서울 마포구,서울 마포구 양화로12길 16-9 1층,,1500000,1,1,189,23,189,63,65217.3913,345.0655625
서울숲 모어스 통대관,서울 성동구,서울 성동구 서울숲4길 18-10,성수1가2동,3000000,5,1,123.4,23,617,206,130434.7826,211.4015926
신사하우스,서울 강남구,서울 강남구 강남대로162길 27 신사하우스,신사동,5000000,5,1,400,23,2000,667,217391.3043,108.6956522
숏리스트라운지,서울 종로구,서울 종로구 삼일대로15길 1 3층,종로1234가동,100000,1,0,20,1,20,7,100000,5000
스튜디오A,서울 중구,서울 중구 다산로22길 29 HWN 1층,청구동,60000,1,1,212.1,1,212.1,71,60000,282.8854314
스튜디오B+C,서울 중구,"서울 중구 다산로22길 29 HWN 5층,6층(루프탑)",청구동,60000,2,0,93.6,1,187.2,62,60000,320.5128205
트위스트 성수,서울 성동구,서울 성동구 성수이로7가길 11,성수2가1동,1800000,1,1,180,24,180,60,75000,416.6666667
더리빙룸at북촌빈관,서울 가회동,서울 종로구 북촌로11가길 10 1층,가회동,228000,1,1,99,1,99,33,228000,2303.030303
명동빌딩 맞은편 대관 공간A,서울 중구,서울 중구 명동길 73,명동,0,1,1,558,1,558,186,1200000,2150.537634
명동빌딩 맞은편 대관 공간B(2층),서울 중구,서울 중구 명동길 74,명동,0,1,0,687,1,687,229,1200000,1746.724891
